title,year,duration,genre,rating,movie_url
Der Untergang,2004,2h 36m,"Biography,Drama,History,Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.,Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.,Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,https://www.imdb.com/title/tt0363163/
A Beautiful Mind,2001,2h 15m,"Biography,Drama",8.2,https://www.imdb.com/title/tt0268978/
V for Vendetta,2005,2h 12m,"Action,Drama,Sci-Fi",8.2,https://www.imdb.com/title/tt0434409/
Kill Bill: Vol. 1,2003,1h 51m,"Action,Crime,Drama",8.2,https://www.imdb.com/title/tt0266697/
El laberinto del fauno,2006,1h 58m,"Drama,Fantasy,War",8.2,https://www.imdb.com/title/tt0457430/
No Country for Old Men,2007,2h 2m,"Crime,Drama,Thriller",8.2,https://www.imdb.com/title/tt0477348/
The Wolf of Wall Street,2013,3h,"Biography,Comedy,Crime",8.2,https://www.imdb.com/title/tt0993846/
There Will Be Blood,2007,2h 38m,Drama,8.2,https://www.imdb.com/title/tt0469494/
Warrior,2011,2h 20m,"Action,Drama,Sport",8.2,https://www.imdb.com/title/tt1291584/
El secreto de sus ojos,2009,2h 9m,"Drama,Mystery,Romance",8.2,https://www.imdb.com/title/tt1305806/
Full Metal Jacket,1987,1h 56m,"Drama,War",8.3,https://www.imdb.com/title/tt0093058/
Inside Out,2015,1h 35m,"Animation,Adventure,Comedy",8.2,https://www.imdb.com/title/tt2096673/
Reservoir Dogs,1992,1h 39m,"Crime,Drama,Thriller",8.3,https://www.imdb.com/title/tt0105236/
Heat,1995,2h 50m,"Action,Crime,Drama",8.3,https://www.imdb.com/title/tt0113277/
Good Will Hunting,1997,2h 6m,"Drama,Romance",8.3,https://www.imdb.com/title/tt0119217/
L.A. Confidential,1997,2h 18m,"Crime,Drama,Mystery",8.3,https://www.imdb.com/title/tt0119488/
Requiem for a Dream,2000,1h 42m,Drama,8.3,https://www.imdb.com/title/tt0180093/
Eternal Sunshine of the Spotless Mind,2004,1h 48m,"Drama,Romance,Sci-Fi",8.3,https://www.imdb.com/title/tt0338013/
Batman Begins,2005,2h 20m,"Action,Crime,Drama",8.3,https://www.imdb.com/title/tt0372784/
Inglourious Basterds,2009,2h 33m,"Adventure,Drama,War",8.3,https://www.imdb.com/title/tt0361748/
Babam ve Oglum,2005,1h 52m,"Drama,Family,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.",8.3,https://www.imdb.com/title/tt0476735/
Up,2009,1h 36m,"Animation,Adventure,Comedy",8.3,https://www.imdb.com/title/tt1049413/
The Father,2020,1h 37m,"Drama,Mystery",8.3,https://www.imdb.com/title/tt10272386/
Jagten,2012,1h 55m,Drama,8.3,https://www.imdb.com/title/tt2106476/
Jodaeiye Nader az Simin,2011,2h 3m,Drama,8.3,https://www.imdb.com/title/tt1832382/
Incendies,2010,2h 11m,"Drama,Mystery,War",8.3,https://www.imdb.com/title/tt1255953/
1917,2019,1h 59m,"Action,Drama,War",8.3,https://www.imdb.com/title/tt8579674/
The Great Dictator,1940,2h 5m,"Comedy,Drama,War",8.4,https://www.imdb.com/title/tt0032553/
The Batman,2022,2h 56m,"Action,Crime,Drama",8.3,https://www.imdb.com/title/tt1877830/
Sunset Blvd.,1950,1h 50m,"Drama,Film-Noir",8.4,https://www.imdb.com/title/tt0043014/
Paths of Glory,1957,1h 28m,"Drama,War",8.4,https://www.imdb.com/title/tt0050825/
Witness for the Prosecution,1957,1h 56m,"Crime,Drama,Mystery",8.4,https://www.imdb.com/title/tt0051201/
Tengoku to jigoku,1963,2h 23m,"Crime,Drama,Mystery",8.4,https://www.imdb.com/title/tt0057565/
The Shining,1980,2h 26m,"Drama,Horror",8.4,https://www.imdb.com/title/tt0081505/
Amadeus,1984,2h 40m,"Biography,Drama,Music",8.4,https://www.imdb.com/title/tt0086879/
Idi i smotri,1985,2h 22m,"Drama,Thriller,War",8.4,https://www.imdb.com/title/tt0091251/
Braveheart,1995,2h 58m,"Biography,Drama,History",8.4,https://www.imdb.com/title/tt0112573/
Das Boot,1981,,"Drama,War",8.4,https://www.imdb.com/title/tt0082096/
Once Upon a Time in America,1984,3h 49m,"Crime,Drama",8.4,https://www.imdb.com/title/tt0087843/
American Beauty,1999,2h 2m,Drama,8.4,https://www.imdb.com/title/tt0169547/
Oldeuboi,2003,2h,"Action,Drama,Mystery",8.4,https://www.imdb.com/title/tt0364569/
Das Leben der Anderen,2006,2h 17m,"Drama,Mystery,Thriller,In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.,In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.,In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",8.4,https://www.imdb.com/title/tt0405094/
Taare Zameen Par,2007,2h 45m,"Drama,Family",8.4,https://www.imdb.com/title/tt0986264/
Intouchables,2011,1h 52m,"Biography,Comedy,Drama",8.5,https://www.imdb.com/title/tt1675434/
Django Unchained,2012,2h 45m,"Drama,Western",8.5,https://www.imdb.com/title/tt1853728/
Whiplash,2014,1h 46m,"Drama,Music",8.5,https://www.imdb.com/title/tt2582802/
